TradeNum,DateTime,Type,Entry,SL,TP,Result,Profit,BaseScore,FinalScore,ADX,EMA200_Aligned,GoldenHour,Month
199,2024.01.10 08:45,BUY,2035.59,2031.83,2041.23,LOSS,-3.76,12,15,37.2,YES,NO,2024-01
200,2024.01.10 11:30,BUY,2033.93,2031.04,2038.27,LOSS,-2.89,12,15,35.8,YES,NO,2024-01
201,2024.01.10 13:00,BUY,2032.07,2029.14,2036.46,LOSS,-2.93,10,11,27.7,NO,YES,2024-01
202,2024.01.10 15:30,BUY,2027.80,2023.76,2033.87,LOSS,-4.04,10,10,34.0,NO,NO,2024-01
203,2024.01.10 16:15,BUY,2025.43,2021.27,2031.68,LOSS,-4.16,10,10,31.1,NO,NO,2024-01
204,2024.01.10 16:45,BUY,2027.32,2023.30,2033.34,LOSS,-4.02,10,10,30.2,NO,NO,2024-01
205,2024.01.10 17:00,BUY,2025.55,2021.59,2031.49,LOSS,-3.96,10,10,27.9,NO,NO,2024-01
206,2024.01.10 18:45,BUY,2021.01,2017.55,2026.20,WIN,5.19,9,9,43.3,NO,NO,2024-01
207,2024.01.10 19:15,BUY,2023.76,2020.45,2028.73,WIN,4.97,9,9,47.8,NO,NO,2024-01
208,2024.01.10 19:30,BUY,2023.94,2020.72,2028.78,WIN,4.84,9,9,42.9,NO,NO,2024-01
209,2024.01.10 19:45,BUY,2022.95,2019.79,2027.68,WIN,4.73,9,9,37.5,NO,NO,2024-01
210,2024.01.10 20:30,BUY,2023.50,2020.30,2028.30,WIN,4.80,9,9,31.8,NO,NO,2024-01
211,2024.01.10 20:45,BUY,2024.08,2020.90,2028.85,WIN,4.77,9,9,32.9,NO,NO,2024-01
212,2024.01.10 21:00,BUY,2023.55,2020.40,2028.27,WIN,4.72,9,9,28.6,NO,NO,2024-01
213,2024.01.10 21:30,BUY,2024.11,2021.35,2028.25,WIN,4.14,9,8,22.7,NO,NO,2024-01
214,2024.01.10 21:45,BUY,2025.68,2023.10,2029.55,WIN,3.87,9,8,21.2,NO,NO,2024-01
215,2024.01.10 23:00,BUY,2025.62,2022.98,2029.57,WIN,3.95,11,10,22.3,NO,NO,2024-01
216,2024.01.10 23:30,BUY,2026.70,2024.41,2030.13,WIN,3.43,11,11,27.4,NO,NO,2024-01
217,2024.01.10 23:45,BUY,2027.23,2025.00,2030.58,WIN,3.35,11,11,31.8,NO,NO,2024-01
218,2024.01.11 00:00,BUY,2027.13,2024.98,2030.35,WIN,3.22,11,11,35.6,NO,NO,2024-01
219,2024.01.11 00:30,BUY,2027.75,2025.79,2030.70,WIN,2.95,11,11,43.0,NO,NO,2024-01
220,2024.01.11 00:45,BUY,2027.74,2025.87,2030.55,WIN,2.81,11,11,46.7,NO,NO,2024-01
221,2024.01.11 01:15,BUY,2027.40,2025.58,2030.13,WIN,2.73,11,11,53.1,NO,NO,2024-01
222,2024.01.11 01:45,BUY,2030.42,2028.30,2033.60,WIN,3.18,11,11,54.7,NO,NO,2024-01
223,2024.01.11 02:00,BUY,2031.23,2029.00,2034.58,LOSS,-2.23,11,14,56.4,YES,NO,2024-01
224,2024.01.11 02:15,BUY,2029.93,2027.63,2033.38,WIN,3.45,11,14,59.4,YES,NO,2024-01
225,2024.01.11 03:15,BUY,2030.77,2028.49,2034.19,WIN,3.42,11,11,48.6,NO,NO,2024-01
226,2024.01.11 03:30,BUY,2030.84,2028.50,2034.35,WIN,3.51,11,14,47.6,YES,NO,2024-01
227,2024.01.11 04:00,BUY,2031.63,2029.27,2035.16,WIN,3.53,11,14,48.6,YES,NO,2024-01
228,2024.01.11 04:45,BUY,2031.30,2029.07,2034.64,WIN,3.34,11,14,53.4,YES,NO,2024-01
229,2024.01.11 05:15,BUY,2033.00,2031.00,2036.01,LOSS,-2.00,11,14,50.4,YES,NO,2024-01
